127.0.0.1 - - [20/Oct/2017:10:49:21 +0100] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [20/Oct/2017:11:22:49 +0100] "GET /ProjectMVC/viewcars.html HTTP/1.1" 200 7467
0:0:0:0:0:0:0:1 - - [20/Oct/2017:11:22:49 +0100] "GET /D698A961-222C-1341-B7BA-91EF791AEE71/main.js HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [20/Oct/2017:11:22:52 +0100] "GET /ProjectMVC/viewcars HTTP/1.1" 200 7467
0:0:0:0:0:0:0:1 - - [20/Oct/2017:11:22:52 +0100] "GET /D698A961-222C-1341-B7BA-91EF791AEE71/main.js HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [20/Oct/2017:11:22:55 +0100] "GET /ProjectMVC/searchDieselCars HTTP/1.1" 200 4045
0:0:0:0:0:0:0:1 - - [20/Oct/2017:11:22:55 +0100] "GET /D698A961-222C-1341-B7BA-91EF791AEE71/main.js HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [20/Oct/2017:11:22:57 +0100] "GET /ProjectMVC/addcar HTTP/1.1" 200 4374
0:0:0:0:0:0:0:1 - - [20/Oct/2017:11:22:57 +0100] "GET /D698A961-222C-1341-B7BA-91EF791AEE71/main.js HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [20/Oct/2017:11:23:10 +0100] "GET /ProjectMVC/viewcars HTTP/1.1" 200 7467
0:0:0:0:0:0:0:1 - - [20/Oct/2017:11:23:10 +0100] "GET /D698A961-222C-1341-B7BA-91EF791AEE71/main.js HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [20/Oct/2017:11:24:04 +0100] "GET /ProjectMVC/viewcars HTTP/1.1" 200 7467
0:0:0:0:0:0:0:1 - - [20/Oct/2017:11:24:04 +0100] "GET /D698A961-222C-1341-B7BA-91EF791AEE71/main.js HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [20/Oct/2017:11:24:07 +0100] "GET /ProjectMVC/viewcars HTTP/1.1" 200 7467
0:0:0:0:0:0:0:1 - - [20/Oct/2017:11:24:07 +0100] "GET /D698A961-222C-1341-B7BA-91EF791AEE71/main.js HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [20/Oct/2017:11:24:14 +0100] "GET /ProjectMVC/addcar HTTP/1.1" 200 4374
0:0:0:0:0:0:0:1 - - [20/Oct/2017:11:24:14 +0100] "GET /D698A961-222C-1341-B7BA-91EF791AEE71/main.js HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [20/Oct/2017:11:26:24 +0100] "POST /ProjectMVC/savecar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2017:11:26:25 +0100] "GET /ProjectMVC/viewcars.html HTTP/1.1" 200 7901
0:0:0:0:0:0:0:1 - - [20/Oct/2017:11:26:38 +0100] "GET /ProjectMVC/edit122 HTTP/1.1" 200 2231
